チャット名,分類,優先度,状態,理由
"AIへの要望伝え方",KNOW,C,ARCHIVE,"AI活用の汎用知識→KNOW。アーカイブ区分でARCHIVE"
"AIprojec リモコン紛失対処法",KNOW,X,ARCHIVE,"生活の紛失対処＝事業無関係の雑多→KNOW。破棄候補X。アーカイブ区分でARCHIVE"
"無料タスク管理アプリ",KNOW,C,ARCHIVE,"汎用ツール調査(業務効率化)→KNOW。アーカイブ区分でARCHIVE"
"無料AIスライドツール",KNOW,C,ARCHIVE,"汎用AIツール調査→KNOW。アーカイブ区分でARCHIVE"
"画像作成サポート",KNOW,C,ARCHIVE,"汎用の画像作成→KNOW。アーカイブ区分でARCHIVE"
"7日間筋トレプラン",KNOW,X,ARCHIVE,"健康/私生活＝事業無関係→KNOW。破棄候補X。アーカイブ区分でARCHIVE"
"AIリール動画プロンプト",KNOW,C,ARCHIVE,"汎用のAIコンテンツ作成→KNOW(集客ならREVO寄りだが一般手順)。アーカイブ区分でARCHIVE"
"Webマーケティング解説",KNOW,C,ARCHIVE,"一般解説で実務に未直結→KNOW(『解説/とは』は汎用扱い)。※営業応用可でREVO寄り。アーカイブ区分でARCHIVE"
"iPhone 通話自動録音",KNOW,C,ARCHIVE,"端末機能の汎用how-to→KNOW。アーカイブ区分でARCHIVE"
"テキストから動画生成 AI",KNOW,C,ARCHIVE,"汎用AI動画生成→KNOW。アーカイブ区分でARCHIVE"
"法人倒産時の責任",REVO,C,ARCHIVE,"倒産責任＝経営リスク/法務→REVO。参考でC。アーカイブ区分でARCHIVE"
"風刺画の作成",KNOW,X,ARCHIVE,"趣味/画像＝娯楽→KNOW。破棄候補X。アーカイブ区分でARCHIVE"
"千成瓢箪の解説",KNOW,X,ARCHIVE,"雑学＝事業無関係→KNOW。破棄候補X。アーカイブ区分でARCHIVE"
"無料議事録アプリ紹介",KNOW,C,ARCHIVE,"汎用ツール(議事録=業務効率)→KNOW。アーカイブ区分でARCHIVE"
"大阪 ティラミス おすすめ",KNOW,X,ARCHIVE,"グルメ/私生活→KNOW。破棄候補X。アーカイブ区分でARCHIVE"
"社会保険含む額面計算",REVO,B,ARCHIVE,"社会保険・額面＝労務コスト/経営→REVO。アーカイブ区分でARCHIVE"
"スマスロ天井期待解析",KNOW,X,ARCHIVE,"ギャンブル/趣味→KNOW。破棄候補X。アーカイブ区分でARCHIVE"
"ビジネス文調に変換",KNOW,C,ARCHIVE,"汎用の文章整形→KNOW。アーカイブ区分でARCHIVE"
"メール用に修正",KNOW,C,ARCHIVE,"汎用の文章修正→KNOW。アーカイブ区分でARCHIVE"
"返事の仕方提案",KNOW,C,ARCHIVE,"汎用コミュニケーション→KNOW。アーカイブ区分でARCHIVE"
"大阪 スーパー銭湯 リスト",KNOW,X,ARCHIVE,"私生活/娯楽→KNOW。破棄候補X。アーカイブ区分でARCHIVE"
"優秀なセールスマン特徴",REVO,B,ARCHIVE,"『セールスマン』＝営業→REVO。営業実務に直結。アーカイブ区分でARCHIVE"
"建築ADRの説明",REVO,C,ARCHIVE,"建築ADR＝建築業の紛争解決/法務→REVO。一般説明でC。アーカイブ区分でARCHIVE"
"面談後のお礼メール",KNOW,C,ARCHIVE,"汎用ビジネスメール→KNOW。アーカイブ区分でARCHIVE"
"無料アプリの仕組み",KNOW,C,ARCHIVE,"汎用の一般知識→KNOW。アーカイブ区分でARCHIVE"
"融合ゴジラ",KNOW,X,ARCHIVE,"娯楽/趣味→KNOW。破棄候補X。アーカイブ区分でARCHIVE"
"下請けの対抗方法",REVO,B,ARCHIVE,"下請の取引・対抗＝建設業経営/取引→REVO。アーカイブ区分でARCHIVE"
"建築業許可証要件",REVO,B,ARCHIVE,"建設業許可の要件＝事業運営/法務→REVO。アーカイブ区分でARCHIVE"
"未払い・貸し倒れ保証",REVO,B,ARCHIVE,"未払い・貸倒＝債権管理/資金→REVO。アーカイブ区分でARCHIVE"
"REVO 書道デザイン",REVO,C,ARCHIVE,"『REVO』明示＝ブランディング/デザイン→REVO。参考でC。アーカイブ区分でARCHIVE"
"建築業向けファクタリング会社",REVO,B,ARCHIVE,"ファクタリング＝資金調達→REVO。アーカイブ区分でARCHIVE"
"二級施工管理士要件",AIT,B,ARCHIVE,"施工管理士資格＝施工体制/人材育成→AIT(REVO実務語なし)。アーカイブ区分でARCHIVE"
"AIで建築見積作成",JIMU,A,ARCHIVE,"『見積作成』＝JIMU(見積機能)。強さ順JIMU最優先。見積は中核でA。※AI棟梁関連の可能性。アーカイブ区分でARCHIVE"
"ビジネスメール文例",KNOW,C,ARCHIVE,"汎用のメール文例→KNOW。アーカイブ区分でARCHIVE"
"3Dパース作成",AIT,C,ARCHIVE,"3Dパース＝施工提案/現場ビジュアル→AIT。参考でC。※ツール寄りか要確認。アーカイブ区分でARCHIVE"
"フラジャイルX症候群とは",KNOW,X,ARCHIVE,"医療/雑学＝事業無関係→KNOW。破棄候補X。アーカイブ区分でARCHIVE"
"PCで収入を得る方法",KNOW,X,ARCHIVE,"副業の一般調査＝事業無関係→KNOW。破棄候補X。アーカイブ区分でARCHIVE"
"画像背景黒に変更",KNOW,C,ARCHIVE,"汎用の画像編集→KNOW。アーカイブ区分でARCHIVE"
"外注費と雇用費比較",REVO,B,ARCHIVE,"外注費・雇用費＝原価/経営判断→REVO。アーカイブ区分でARCHIVE"
"蕁麻疹治療方法",KNOW,X,ARCHIVE,"医療/私生活→KNOW。破棄候補X。アーカイブ区分でARCHIVE"
"遅延損害金請求について",REVO,B,ARCHIVE,"遅延損害金＝債権回収/法務→REVO。アーカイブ区分でARCHIVE"
"大阪 野菜ラーメン店",KNOW,X,ARCHIVE,"グルメ/私生活→KNOW。破棄候補X。アーカイブ区分でARCHIVE"
"Benim hakkımda ne düşünüyorsun",KNOW,X,ARCHIVE,"雑談(内容が事業無関係)→KNOW。破棄候補X。アーカイブ区分でARCHIVE"
"Excel見積書 自動入力",JIMU,B,ARCHIVE,"『見積書 自動入力』＝見積業務効率化→JIMU(見積)。強さ順JIMU。※Excel汎用寄りか要確認。アーカイブ区分でARCHIVE"
"ロト7当選確率",KNOW,X,ARCHIVE,"ギャンブル/雑学→KNOW。破棄候補X。アーカイブ区分でARCHIVE"
"職人腰袋の革種類",AIT,C,ARCHIVE,"職人腰袋＝職人の道具ノウハウ→AIT。参考でC。アーカイブ区分でARCHIVE"
"収益化手段と比較",REVO,C,ARCHIVE,"収益化＝ビジネスモデル/経営→REVO。参考でC。アーカイブ区分でARCHIVE"
"南大阪 フィギュア買取",KNOW,X,ARCHIVE,"私生活/趣味→KNOW。破棄候補X。アーカイブ区分でARCHIVE"
"スマスロ ハイエナ台",KNOW,X,ARCHIVE,"ギャンブル→KNOW。破棄候補X。アーカイブ区分でARCHIVE"
"東洋医学で仕事する方法",KNOW,X,ARCHIVE,"キャリア/私生活＝4事業に無関係→KNOW。破棄候補X。アーカイブ区分でARCHIVE"
"アプリ開発と運営方法",JIMU,B,ARCHIVE,"『アプリ開発と運営』＝JIMU(開発)。アーカイブ区分でARCHIVE"
"スマスロ化物語解析",KNOW,X,ARCHIVE,"ギャンブル/趣味→KNOW。破棄候補X。アーカイブ区分でARCHIVE"
"事業計画改善提案",REVO,A,ARCHIVE,"『事業計画』＝REVO。中核でA。アーカイブ区分でARCHIVE"
"現場のやりとり分析",AIT,B,ARCHIVE,"現場のやりとり分析＝現場データ/ノウハウ→AIT。※案件ログ(JIMU)寄りか要確認。アーカイブ区分でARCHIVE"
"補助金リストとカレンダー",REVO,A,ARCHIVE,"補助金＝資金調達/経営(期限管理)→REVO。アーカイブ区分でARCHIVE"
"音声分析と教育テンプレ",AIT,B,ARCHIVE,"『教育テンプレ』＝教育資料/育成→AIT。アーカイブ区分でARCHIVE"
"起業家の定義",KNOW,C,ARCHIVE,"一般定義＝汎用知識→KNOW。アーカイブ区分でARCHIVE"
"事業計画書作成支援",REVO,A,ARCHIVE,"『事業計画書』＝REVO。中核でA。アーカイブ区分でARCHIVE"
"音声データ処理方法",KNOW,C,ARCHIVE,"汎用の音声処理『方法』→KNOW。※事務サポ音声入力(JIMU)寄りか要確認。アーカイブ区分でARCHIVE"
"音声文字起こし方法",KNOW,C,ARCHIVE,"汎用の文字起こし『方法』→KNOW。※事務サポ音声入力(JIMU)寄りか要確認。アーカイブ区分でARCHIVE"
